0,9.91
1,14.03
2,10.99
3,13.92
4,13.82
5,14.36
6,14.71
7,14.25
8,13.61
9,13.61
10,14.48
11,14.48
12,14.25
13,14.03
14,14.03
15,12.85
16,8.64
17,7.93
18,5.74
19,10.48
20,5.49
21,10.92
22,7.27
23,9.03
24,12.85
25,13.41
26,13.82
27,12.32
28,13.51
29,6.16
30,12.08
31,8.64
32,10.36
33,13.61
34,13.22
35,7.86
36,13.61
37,13.03
38,12.67
39,14.25
40,12.67
41,14.03
42,14.25
43,14.03
44,14.25
45,14.36
46,11.84
47,9.97
48,13.82
49,12.85
50,13.82
51,13.51
52,10.73
53,14.25
54,13.61
55,11.54
56,14.14
57,8.56
58,14.03
59,9.03
60,6.78
61,8.73
62,8.33
63,14.25
64,9.91
65,13.92
66,10.79
67,14.25
68,13.41
69,7.93
70,14.25
71,14.25
72,13.82
73,13.22
74,14.48
75,13.92
76,13.03
