0,9.86
1,10.48
2,11.84
3,11.69
4,12.00
5,12.00
6,11.84
7,11.84
8,12.00
9,11.84
10,11.77
11,11.69
12,12.00
13,8.99
14,12.00
15,12.08
16,12.16
17,11.84
18,12.00
19,11.54
20,11.77
21,11.92
22,11.92
23,11.84
24,11.84
25,11.69
26,9.03
27,11.12
28,11.69
29,11.69
30,8.81
31,11.62
32,11.84
33,11.84
34,10.73
35,12.16
36,11.69
37,10.31
38,6.78
39,11.40
40,10.86
41,12.00
42,11.84
43,11.92
44,12.00
45,12.00
46,8.00
47,11.92
48,11.26
49,9.65
50,11.12
51,7.83
52,12.00
53,12.00
54,12.00
55,12.49
56,12.32
57,12.24
58,10.79
59,7.54
60,8.33
61,12.00
62,12.00
63,12.00
64,11.84
65,11.92
66,11.84
67,11.84
68,11.92
69,4.55
70,9.12
71,7.54
72,11.54
73,7.79
74,11.69
75,11.92
76,12.00
