Direction,Min,Max,Avg,Jitter,Loss
Outbound,38.23ms,63.61ms,41.85,2.40ms,0.0%
Inbound,37.48ms,58.65ms,40.74,2.66ms,0.0%
Roundtrip,75.92ms,107.48ms,82.59,3.44ms,0.0%
