Direction,Min,Max,Avg,Jitter,Loss
Outbound,35.66ms,70.26ms,40.70,1.66ms,0.0%
Inbound,37.39ms,81.33ms,50.61,2.73ms,0.0%
Roundtrip,73.36ms,126.62ms,91.30,3.78ms,0.0%
