Direction,Min,Max,Avg,Jitter,Loss
Outbound,34.03ms,59.01ms,39.68,4.60ms,0.0%
Inbound,38.33ms,74.21ms,45.81,7.31ms,0.0%
Roundtrip,72.61ms,122.60ms,85.48,9.93ms,0.0%
